,0
0,falsies take ages apply seem stick lash line lashes get pulled trying remove said hunt down non latex adhesive due allergy runny get every ruining makeup process start all
1,younger used go thinking bees knees go loo middle night find come unstuck edge eye turned up looked right idiot good look
2,sure lot remember wearing seventies jumping bath thought spider eyelashes come adrift
3,applied semipermament ones took ages loved efect started fall natural new mascare looks cant wait try
4,attempted wear false eyelashes night went karaoke pub getting chatted up all sudden one false lash fell guys mortified pmsl
5,tried false lashes long could open eyes decided trim whilst wearing trimmed off lashes eyelash extentions
6,seem find move during day end up hanging eyeball ca stand im sensitive eyes hate lashes move become uncomfortable
7,wore false lashes fancy dress party glad take off end night like caterpillars wink every time blinked neva
8,forget meeting gorgeous man night mid clinch friend patted shoulder whispered ear lashes come mortified
9,lucky long lashes thin so lot thickening mascara clumps love flash lash sculpt xx liked shared
10,wear false lashes forget one time night forgot pulled one off left didnt notice got home embarassing
11,all above look like drag queen ca apply life theyre uncomfortable end up taking off near enough straight
12,take least hour ca get stick lined above eyelash rub eye remembering start all much hassle would try
13,first time tried false lashes within minutes eyes started itch sting remove pleased read l oreal bought mascara gives effect lashes without pain
14,ca false get one side goes lisa remember tried complete disaster haha
15,tried apply falsies going ranchos night son informed hanging off mortified took off slipped into bag
16,take perfectionist make sure look identical bother much hassle one starts get unstuck halfway through night
17,find hard find right mascara eye lashes false ones comfy all would love one work
18,can apply false lashes get poor sister put love mascara so excited try new one
19,eyes felt like big spiders across could see drunk club pulled off flushed down toilet
20,forget wearing rub eyes good luck false lash mascara would perfect answer x
21,take apply fall off halway through night give up
22,look looked like deer headlights much prefer fab mascara like help short lashes look fab
23,false lashes top bottom youngercouldput one minute takes one hour old age wants mascara can help yes please tried loads nothing works
24,tried tried look like spider crawled accross eyelids serious lash envy people long eyelashes
25,get one right looks wonky end up giving getting stressed pulling off
26,first time tried flash eyelashes looked looked like spiders eyelids haha
27,terrible managed apply one one come unstuck dangling eyelid
28,set least another mins get ready applying false lashes equals annoyed impatient hubby
29,false lash fail cant stick tried tried good mascara saviour
30,comfy worn sleeve top unknown half night
31,applied first came unstuck walk rain result idiot must odf looked tickled under eye
32,take falsies off whilst eating wedding breakfast digging eyes lol
33,trouble b c find mascara can give same end results would fab
34,look ott tried loads different natural looking ones drag queen haha
35,sensitive eye all lash glues seem irritate dying try fibre mascaras
36,allergic reactions many things worried glue would love mascara done job
37,wore some first time wedding day one shots can see trying put crying
38,party advised fancy dress lashes making much statement
39,took ages apply false lashes all night one half hanging off drove nuts mascara sounds perfect
40,first time tried false eyelashes could get close sitting crying
41,used wear false lashes lot night hot date one fell into romantic
42,wore shiney eye liner stuck came loos stuck eyebrows cheeks looks right state
43,every lash application ends blinking off half way through night glamourous
44,bought some cheap ones one time cheap glue took long get keep great determination got stick longer fwd hours club dancing friend started hitting screaming spider turns lash fell landed dragged kicked night club bouncer though fighting told woman like vile fighting unladylike banned humiliating jumped into first cab saw
45,time would leave house without wearing false lashes remember issues ones try apply get right first time struggle
46,takes least half hour try stick lash line manage pull off main thing
47,eyelashes sparse due stress alopecia terrible putting flase ones takes ages glued eyelids haha
48,holiday ended going loo take false lashes off everyone dinner table looking after returned could figure looked different
49,all life tried extend lashes nothing worked try false lashes come loose try several coats mascara stick wrong liked shared xx
50,put first time halloween driving put driving glasses realised could blink cause long lashes longer one getting stuck every time take glasses off ruin look vampiress purple glitter looked drove
51,answer fingers crossed would love win tried many mascaras sat fuller longer lashes look different short eye lashes so would life changing moment lucky wi
52,lost some lashes after surgery thought try think used much glue went all clogged up stick mascara
53,one first times wore false lashes took off after night screamed next morning half drunk lol thought mahoosive spider staring bedside table oooppsss
54,eye lashes put salon xmas works night felt like brushes eye lids bothering wear glasses couldnt wait get off next day meduim size feel like didnt look natural
55,years neighbour mine used wear false eye left little ashtray all cuppa jackie stubbed ciggy falsh lashes thinking dead went must strong glue
56,year christmas one false eyelashes fell disappeared into starters tried finding no left soup disappeared ladies took off finish soup felt conscious all night people staring happy new year awesome prize win
57,falsies take apply want last more hour soooo frustrating get dance floor third bar after party wedding told loose lash situation mortifying say least
58,take apply love look although break frm losin lashes x
59,comfy sensitive eyes react glue lashes tried sensitive light expensive natural fiber lashes nope get stinging swelling waterworks one thing know sure can pick up product wo reaction
60,falsies takes long smudges eyeshadow fingers time would amazing mascara could give effect
61,comfy some applied bodypaint modelling heavy eye lids could keep open lol looked like half asleep
62,ive tried false eyelashes during wedding before false lash wud love win afterall doesnt love long lashes
63,can remember one time going friends amazing time feeling gorgeous went toilet left lash eye thread two women toilet burst laughing
64,remember using individual eyelashes applied find minutes started fall good look brings whole new meaning spiders legs would love try new mascara looks promising
65,son stared face proclaimed mum got spiders legs eyes thought creepy
66,look ott matter size try look like rupauls lost abino sister good look
67,night prom wore false lashes first small eyes so lashes long length wise strip kept scratching inner corner eye contact lenses kept rubbing eyes all night smudged all make up before gave up ripped off threw make up ended up looking awful best make up moment
68,def fail strutting stuff night club thinking look business friend tell extra set eyelashes cheek notthebestlook laughed put said eyelashes chin n nose etc after few drinks care
69,summer got bit get false lashes one came before leaving pull one off felt bit naked all night
70,asked beautician longest pair wanted like bambi like drag queen kept hitting top glasses catching fringe disaster lol x
